"","Cov.35","Cov.40","Cov.45","Cov.50","Cov.55","Cov.60","Cov.65","Cov.70","Cov.75","Cov.80","Cov.85","Cov.90","Cov.95","Cov.100"
"M.15.25.F.15.25",7,8,8,9,10,11,12,13,13,14,14,14,15,16
"M.25.40.F.15.25",0,0,1,1,1,1,1,1,1,1,1,1,1,1
"M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.15.25.F.25.40",13,15,17,19,20,22,24,26,28,30,32,33,35,51
"M.25.40.F.25.40",9,10,11,12,13,14,15,16,16,17,17,18,18,26
"M.40.50.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.15.25.F.40.50",3,4,4,5,5,6,6,7,7,8,8,9,9,16
"M.25.40.F.40.50",12,14,16,17,19,21,22,23,23,24,24,25,25,41
"M.40.50.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
